from_id,to_id,walk_d
5883643,5883644,627
5883643,5885492,627
5883643,5885493,392
5883643,5885494,705
5883643,5887341,783
5883643,5879939,705
5883643,5879940,783
5883643,5881792,470
5883644,5881794,705
5883644,5883642,783
5883644,5883643,627
5883644,5883644,0
5883644,5883645,548
5883644,5885493,627
5883644,5885494,470
5883644,5885495,705
5883644,5887343,783
5883645,5881794,548
5883645,5883644,548
5883645,5883645,0
5883645,5885493,783
5883645,5885494,627
5883645,5885495,392
5883645,5879941,705
5883681,5887380,783
5883689,5883689,0
5883689,5885539,705
5883690,5883690,0
5883691,5883690,548
5885486,5883637,783
5885486,5885486,0
5885486,5885487,627
5885486,5887334,627
5885486,5887335,470
5885486,5887336,705
5885486,5889183,783
5885487,5883637,627
5885487,5883638,705
5885487,5885486,627
5885487,5885487,0
5885487,5885488,548
5885487,5887335,627
5885487,5887336,470
5885487,5887337,548
5885488,5883637,705
5885488,5883638,470
5885488,5883639,627
5885488,5885487,548
5885488,5885488,0
5885488,5885489,627
5885488,5887336,548
5885488,5887337,548
5885488,5887338,783
5885489,5881789,783
5885489,5883638,627
5885489,5883639,470
5885489,5885488,627
5885489,5885489,0
5885489,5887337,627
5885489,5887338,548
5885489,5889185,705
5885489,5889186,783
5885490,5885489,705
5885490,5887338,705
5885491,5881790,783
5885491,5883641,548
5885491,5885489,705
5885491,5887340,470
5885491,5887341,548
5885491,5889188,783
5885492,5883641,705
5885492,5883642,548
5885492,5883643,627
5885492,5885492,0
5885492,5885493,470
5885492,5885494,783
5885492,5887341,705
5885493,5881791,783
5885493,5883641,783
5885493,5883642,627
5885493,5883643,392
5885493,5883644,627
5885493,5883645,783
5885493,5885492,470
5885493,5885493,0
5885493,5885494,470
5885493,5887341,627
5885493,5887342,705
5885493,5887343,627
5885493,5881792,705
5885494,5883643,705
5885494,5883644,470
5885494,5883645,627
5885494,5885492,783
5885494,5885493,470
5885494,5885494,0
5885494,5885495,548
5885494,5887343,470
5885494,5887344,783
5885495,5881794,705
5885495,5883644,705
5885495,5883645,392
5885495,5885494,548
5885495,5885495,0
5885495,5887343,627
5885496,5885496,0
5885496,5887345,548
5885496,5883646,548
5885496,5885497,548
5885496,5887346,627
5885528,5885527,548
5885528,5887376,783
5885530,5887380,705
5885531,5887380,548
5885532,5887380,548
5885532,5887381,705
5885539,5883689,705
5885539,5885539,0
5885539,5885540,548
5885539,5887389,705
5885540,5885539,548
5885540,5885540,0
5885541,5883690,627
5887331,5887332,470
5887331,5885482,548
5887331,5885483,627
5887332,5887332,0
5887332,5885482,705
5887332,5885483,548
5887333,5887332,548
5887334,5885486,627
5887334,5887334,0
5887334,5887335,548
5887334,5889181,627
5887334,5889182,392
5887334,5889183,548
